topic,subtopic,subsubtopic,front,back
"0. Introductory Concepts & Definitions,Globalization,,Globalization — definition,""Process which led to the appearance of a truly global economy; Convergence of cultures and tastes; Economic: inflow and outflow of goods and services."""
"0. Introductory Concepts & Definitions,Divergence,,Divergence — definition,""Process which led some areas of the world to become much richer and more powerful than others; Not just in levels but also in rate of change."""
"0. Introductory Concepts & Definitions,Divergence,,Divergence — indicators,""Indicators: Per-capita GDP; Urbanization rates; Living standards (health levels and life expectancy), e.g. 20th century divergence in health going hand-in-hand with divergence in economic indicators."""
"0. Introductory Concepts & Definitions,Divergence,,Divergence — why it matters,""Underlines why some areas failed and what led to areas’ success."""
"0. Introductory Concepts & Definitions,Inequality,,Inequality — definition,""Differences in income and wealth within and between countries and world regions; Condition of disparity in distribution of income and economic assets."""
"0. Introductory Concepts & Definitions,Inequality,,Inequality — core question,""Question about reduction of global inequality leading to increase in national inequality."""
"0. Introductory Concepts & Definitions,Cultural Globalization,,Cultural globalization — Britannica (Watson) definition,""A phenomenon by which the experience of everyday life, as influenced by the diffusion of commodities and ideas, reflects a standardization of cultural expressions around the world. Propelled by the efficiency or appeal of wireless communications, electronic commerce, popular culture, and international travel, globalization has been seen as a trend toward homogeneity that will eventually make human experience everywhere essentially the same. This appears, however, to be an overstatement of the phenomenon. Although homogenizing influences do indeed exist, they are far from creating anything akin to a single world culture. (Watson, Cultural Globalization, Encyclopedia Britannica 2016)"""
"0. Introductory Concepts & Definitions,Economic Globalization,,Economic globalization — UNDESA (Gao Shangquan) definition,""Economic globalization refers to the increasing interdependence of world economies as a result of the growing scale of cross-border trade of commodities and services, flow of international capital and wide and rapid spread of technologies. It reflects the continuing expansion and mutual integration of market frontiers, and is an irreversible trend for the economic development in the whole world at the turn of the millennium. (Gao Shangquan, U.N. Department of Economic and Social Affairs paper, n.1/2000)"""
"0. Introductory Concepts & Definitions,Economic Globalization,,Economic globalization — central aspects (Britannica/Volle)"",""Central aspects: interconnection; intensification; time-space distanciation (conditions that allow time and space to be organized in a manner that connects presence and absence); supraterritoriality; time-space compression; action at a distance; accelerating interdependence."""
"0. Introductory Concepts & Definitions,Economic Globalization,,Economic globalization — deterritorialization + definition (Britannica/Volle),""Modern analysts also conceive of globalization as a long-term process of deterritorialization—that is, of social activities (economic, political, and cultural) occurring without regard for geographic location. Thus, globalization can be defined as the stretching of economic, political, and social relationships in space and time."""
"0. Introductory Concepts & Definitions,Economic Globalization,,Economic globalization — examples (Britannica/Volle),""A manufacturer assembling a product for a distant market, a country submitting to international law, and a language adopting a foreign loanword are all examples of globalization."""
"0. Introductory Concepts & Definitions,Economic Globalization,,Economic globalization — historical examples (Britannica/Volle),""History is filled with such occurrences: Chinese artisans once wove silk bound for the Roman Empire; kingdoms in western Europe honoured dictates of the Roman Catholic Church; and English adopted many Norman French words in the centuries after the Battle of Hastings. (A. Volle, “Globalization”, Encyclopedia Britannica, 2024)"""
"1. Origins of Divergence,1.1 Timeline,,Timeline — Paleolithic Age (dates + label),""Paleolithic Age (2.6 Mio – 10.000 BCE) Hunter-Gatherers"
"1. Origins of Divergence,1.1 Timeline,,Timeline — Neolithic Age (dates + label),""Neolithic Age (10.000 – 2.000 BCE) Agrarian Revolution"""
"1. Origins of Divergence,1.1 Timeline,,Timeline — Bronze Age (dates + label),""Bronze Age (3.300 – 1.200 BCE) Urban Revolution"""
"1. Origins of Divergence,1.1 Timeline,,Timeline — Iron Age (dates + label),""Iron Age (1.200 BCE – 500 AD) Great Empires & Iron"""
"1. Origins of Divergence,1.1 Timeline,,Timeline — Medieval Period (dates + label),""Medieval Period (500 – 1500) Proto-Globalization/Discovery"""
"1. Origins of Divergence,1.1 Timeline,,Timeline — Early Modernism (dates + label),""Early Modernism (1500 – 1800) Divergence/Pre-Industrial"""
"1. Origins of Divergence,1.2 Neolithic Revolution,1.2.1 Childe – Classical Theory / Oasis Theory,Childe — core hypothesis,""Hypothesis: Humans discovered agriculture via Oasis Theory."""
"1. Origins of Divergence,1.2 Neolithic Revolution,1.2.1 Childe – Classical Theory / Oasis Theory,Childe — mechanism (climate → oasis → domestication),""Climate change at end of Pleistocene led to drier climate and droughts; this forced humans, plants, and animals to live in closer proximity at areas termed as oasis; this closer proximity led to closer relationship and association, i.e. domestication."""
"1. Origins of Divergence,1.2 Neolithic Revolution,1.2.1 Childe – Classical Theory / Oasis Theory,Childe — population effect,""Then population grows because mortality decreases due to better nutrition."""
"1. Origins of Divergence,1.2 Neolithic Revolution,1.2.2 Cohen – Demographical Explanation,Cohen — core claim,""Discovery of agriculture not through climate/oasis and not like an instance of time for discovery; hypothesis: agriculture was the way to adapt to demographics."""
"1. Origins of Divergence,1.2 Neolithic Revolution,1.2.2 Cohen – Demographical Explanation,Cohen — global saturation → food crisis chain,""End of Pleistocene, humans occupied all available “prime” land on Earth → global saturation → no more room for H&G groups to move when their populations grew → increase in population density → reduction in available wild resources per person → food crisis."""
"1. Origins of Divergence,1.2 Neolithic Revolution,1.2.2 Cohen – Demographical Explanation,Cohen — solution despite worse work,""To survive, humans had to find a way to get more calories out of same amount of land → domesticating plants and animals increased the productivity per hectare and thereby increased the carrying capacity of their territory, even if it meant more back-breaking labour."""
